context_feature,item_feature,field_pair,positive_support,negative_support,learned_weight,absolute_weight
ctx:feature=button closure,item:feature=machine wash,feature×feature,407,27600,-0.3023284673690796,0.3023284673690796
ctx:feature=pull on closure,item:material=fabric,feature×material,383,85192,-0.2899269759654999,0.2899269759654999
ctx:feature=rubber sole,item:material=cotton,feature×material,144,80712,-0.28928661346435547,0.28928661346435547
ctx:feature=machine wash,item:feature=button closure,feature×feature,380,51208,-0.2885158956050873,0.2885158956050873
ctx:color=color: black,item:material=polyester,color×material,1312,89864,-0.2850247025489807,0.2850247025489807
ctx:feature=rubber sole,item:feature=rubber sole,feature×feature,10089,80712,0.2829122841358185,0.2829122841358185
ctx:feature=pull on closure,item:material=polyester,feature×material,2066,85192,-0.28056588768959045,0.28056588768959045
ctx:material=100% polyester,item:color=color: black,material×color,204,26376,-0.2791641056537628,0.2791641056537628
ctx:feature=non-polarized,item:feature=non-polarized,feature×feature,358,2864,0.2773417830467224,0.2773417830467224
ctx:material=100% leather,item:color=color: black,material×color,144,29008,-0.2759638726711273,0.2759638726711273
ctx:feature=pull on closure,item:feature=pull on closure,feature×feature,10649,85192,0.2755228877067566,0.2755228877067566
ctx:material=leather,item:material=leather,material×material,27996,223968,0.2750416100025177,0.2750416100025177
ctx:feature=plastic frame,item:feature=plastic frame,feature×feature,578,4624,0.27452296018600464,0.27452296018600464
ctx:material=100% leather,item:material=100% leather,material×material,3626,29008,0.2732895016670227,0.2732895016670227
ctx:feature=zipper closure,item:feature=zipper closure,feature×feature,3667,29336,0.2725989520549774,0.2725989520549774
ctx:feature=polarized,item:feature=polarized,feature×feature,243,1944,0.27172449231147766,0.27172449231147766
ctx:feature=synthetic sole,item:feature=synthetic sole,feature×feature,1803,14424,0.2712961435317993,0.2712961435317993
ctx:feature=100% synthetic,item:feature=100% synthetic,feature×feature,4627,37016,0.2709197402000427,0.2709197402000427
ctx:feature=drawstring closure,item:feature=drawstring closure,feature×feature,1929,15432,0.27029457688331604,0.27029457688331604
ctx:feature=quartz movement,item:feature=quartz movement,feature×feature,217,1736,0.2694193422794342,0.2694193422794342
ctx:feature=elastic closure,item:feature=elastic closure,feature×feature,780,6240,0.26937076449394226,0.26937076449394226
ctx:feature=machine wash,item:color=color: black,feature×color,494,51208,-0.2692658007144928,0.2692658007144928
ctx:material=cotton,item:material=cotton,material×material,32654,261232,0.26915428042411804,0.26915428042411804
ctx:feature=snap closure,item:feature=snap closure,feature×feature,704,5632,0.2690064013004303,0.2690064013004303
ctx:feature=button closure,item:feature=button closure,feature×feature,3450,27600,0.26891931891441345,0.26891931891441345
ctx:feature=uv protection coating coating,item:feature=uv protection coating coating,feature×feature,155,1240,0.2689014971256256,0.2689014971256256
ctx:feature=imported,item:feature=imported,feature×feature,17182,137456,0.2686595916748047,0.2686595916748047
ctx:feature=machine wash,item:feature=machine wash,feature×feature,6401,51208,0.26850461959838867,0.26850461959838867
ctx:feature=is discontinued by manufacturer: no,item:feature=is discontinued by manufacturer: no,feature×feature,9093,72744,0.26842695474624634,0.26842695474624634
ctx:feature=100% acrylic,item:feature=100% acrylic,feature×feature,616,4928,0.26842376589775085,0.26842376589775085
ctx:feature=buckle closure,item:feature=buckle closure,feature×feature,467,3736,0.2683386504650116,0.2683386504650116
ctx:feature=dry cloth clean,item:feature=dry cloth clean,feature×feature,187,1496,0.2683011293411255,0.2683011293411255
ctx:color=color: white,item:color=color: white,color×color,4167,33336,0.2682066559791565,0.2682066559791565
ctx:feature=imported,item:material=leather sole,feature×material,195,137456,-0.26817214488983154,0.26817214488983154
ctx:feature=metal frame,item:feature=metal frame,feature×feature,349,2792,0.2680843472480774,0.2680843472480774
ctx:feature=tie closure,item:feature=tie closure,feature×feature,875,7000,0.26806777715682983,0.26806777715682983
ctx:feature=pull-on closure,item:feature=pull-on closure,feature×feature,285,2280,0.2680165767669678,0.2680165767669678
ctx:color=color: green,item:color=color: green,color×color,1615,12920,0.26772403717041016,0.26772403717041016
ctx:color=color: black,item:color=color: black,color×color,11233,89864,0.2675110697746277,0.2675110697746277
ctx:color=color: yellow,item:color=color: yellow,color×color,1231,9848,0.2671709954738617,0.2671709954738617
ctx:feature=drawstring closure,item:material=fabric,feature×material,112,15432,-0.2670881748199463,0.2670881748199463
ctx:feature=manmade sole,item:feature=manmade sole,feature×feature,1213,9704,0.2669336199760437,0.2669336199760437
ctx:style=department: womens,item:style=department: womens,style×style,4066,32528,0.26689621806144714,0.26689621806144714
ctx:material=100% cotton,item:color=color: blue,material×color,115,30176,-0.266824334859848,0.266824334859848
ctx:feature=100% mesh,item:feature=100% mesh,feature×feature,157,1256,0.26669836044311523,0.26669836044311523
ctx:feature=hand wash only,item:feature=hand wash only,feature×feature,5178,41424,0.26667046546936035,0.26667046546936035
ctx:feature=is discontinued by manufacturer: no,item:feature=button closure,feature×feature,130,72744,-0.26664721965789795,0.26664721965789795
ctx:material=nylon,item:material=nylon,material×material,6460,51680,0.266440749168396,0.266440749168396
ctx:feature=made in usa,item:feature=made in usa,feature×feature,435,3480,0.2663968801498413,0.2663968801498413
ctx:feature=100% synthetic and mesh,item:feature=100% synthetic and mesh,feature×feature,219,1752,0.2659229636192322,0.2659229636192322
ctx:material=silk,item:material=silk,material×material,1220,9760,0.2658684551715851,0.2658684551715851
ctx:feature=100% synthetic,item:material=fabric,feature×material,85,37016,-0.2656377851963043,0.2656377851963043
ctx:feature=foam sole,item:feature=foam sole,feature×feature,220,1760,0.2655028998851776,0.2655028998851776
ctx:material=100% cotton,item:color=color: black,material×color,265,30176,-0.2653871774673462,0.2653871774673462
ctx:feature=ball closure,item:feature=ball closure,feature×feature,86,688,0.26536431908607483,0.26536431908607483
ctx:color=color: blue,item:color=color: blue,color×color,3602,28816,0.2651207447052002,0.2651207447052002
ctx:color=color: pink,item:color=color: pink,color×color,1650,13200,0.2645787000656128,0.2645787000656128
ctx:color=color: grey,item:color=color: grey,color×color,2299,18392,0.2644791901111603,0.2644791901111603
ctx:feature=plastic lens,item:feature=plastic lens,feature×feature,211,1688,0.2641478180885315,0.2641478180885315
ctx:feature=100% textile,item:feature=100% textile,feature×feature,791,6328,0.26412123441696167,0.26412123441696167
ctx:feature=mesh,item:feature=mesh,feature×feature,542,4336,0.26409053802490234,0.26409053802490234
ctx:feature=hook and eye closure,item:feature=hook and eye closure,feature×feature,212,1696,0.26388654112815857,0.26388654112815857
ctx:material=leather sole,item:material=leather sole,material×material,760,6080,0.26371821761131287,0.26371821761131287
ctx:feature=belt closure,item:feature=belt closure,feature×feature,142,1136,0.2636876404285431,0.2636876404285431
ctx:feature=lace up closure,item:feature=lace up closure,feature×feature,227,1816,0.26362866163253784,0.26362866163253784
ctx:feature=line dry,item:feature=line dry,feature×feature,185,1480,0.2634750008583069,0.2634750008583069
ctx:feature=100% canvas,item:feature=100% canvas,feature×feature,271,2168,0.26329654455184937,0.26329654455184937
ctx:feature=machine wash,item:color=color: blue,feature×color,185,51208,-0.2632831335067749,0.2632831335067749
ctx:material=100% leather,item:color=color: brown,material×color,50,29008,-0.26320457458496094,0.26320457458496094
ctx:feature=hook and loop closure,item:feature=hook and loop closure,feature×feature,178,1424,0.2630603015422821,0.2630603015422821
ctx:feature=satin,item:feature=satin,feature×feature,233,1864,0.2629392743110657,0.2629392743110657
ctx:color=color: red,item:color=color: red,color×color,2417,19336,0.26288270950317383,0.26288270950317383
ctx:material=nylon,item:feature=is discontinued by manufacturer: no,material×feature,115,51680,-0.2628296911716461,0.2628296911716461
ctx:material=wool,item:material=wool,material×material,2100,16800,0.2627168595790863,0.2627168595790863
ctx:feature=100% textile and synthetic,item:feature=100% textile and synthetic,feature×feature,156,1248,0.26257866621017456,0.26257866621017456
ctx:budget=budget around $—,item:budget=budget around $—,budget×budget,242,1936,0.2625565528869629,0.2625565528869629
ctx:color=color: orange,item:color=color: orange,color×color,410,3280,0.2625410556793213,0.2625410556793213
ctx:color=color: purple,item:color=color: purple,color×color,726,5808,0.26239991188049316,0.26239991188049316
ctx:style=department: mens,item:style=department: mens,style×style,1499,11992,0.2623954117298126,0.2623954117298126
ctx:feature=elastic,item:feature=elastic,feature×feature,268,2144,0.2622392773628235,0.2622392773628235
