context_feature,item_feature,field_pair,positive_support,negative_support,learned_weight,absolute_weight
ctx:material=fabric,item:material=fabric,material×material,10237,81896,0.020013555884361267,0.020013555884361267
ctx:feature=imported,item:material=leather,feature×material,2490,137456,-0.020013315603137016,0.020013315603137016
ctx:material=leather sole,item:material=leather sole,material×material,760,6080,0.020013250410556793,0.020013250410556793
ctx:feature=made in usa,item:feature=made in usa,feature×feature,435,3480,0.02001321315765381,0.02001321315765381
ctx:material=nylon,item:material=nylon,material×material,6460,51680,0.02001320943236351,0.02001320943236351
ctx:feature=button closure,item:feature=button closure,feature×feature,3450,27600,0.020013170316815376,0.020013170316815376
ctx:feature=pull on closure,item:material=polyester,feature×material,2066,85192,-0.020013168454170227,0.020013168454170227
ctx:category=shirts t-shirts,item:material=cotton,category×material,6328,68480,-0.02001316100358963,0.02001316100358963
ctx:category=women shoes,item:feature=is discontinued by manufacturer: no,category×feature,1736,38784,-0.020013144239783287,0.020013144239783287
ctx:material=fabric,item:material=100% fabric,material×material,585,81896,0.020013093948364258,0.020013093948364258
ctx:category=tops & tees t-shirts,item:color=color: grey,category×color,1888,32896,-0.020013056695461273,0.020013056695461273
ctx:feature=100% synthetic,item:material=leather,feature×material,364,37016,-0.020012982189655304,0.020012982189655304
ctx:feature=buckle closure,item:feature=buckle closure,feature×feature,467,3736,0.020012972876429558,0.020012972876429558
ctx:category=men shoes,item:color=color: black,category×color,624,18880,-0.02001296915113926,0.02001296915113926
ctx:category=shoes & jewelry women,item:price=missing,category×price,2424,22848,-0.020012950524687767,0.020012950524687767
ctx:feature=pull-on closure,item:feature=pull-on closure,feature×feature,285,2280,0.02001289278268814,0.02001289278268814
ctx:feature=zipper closure,item:price=missing,feature×price,2960,29336,-0.020012881606817245,0.020012881606817245
ctx:feature=rubber,item:feature=rubber,feature×feature,390,3120,0.02001284435391426,0.02001284435391426
ctx:feature=made in china,item:feature=made in china,feature×feature,212,1696,0.020012810826301575,0.020012810826301575
ctx:feature=snap closure,item:feature=snap closure,feature×feature,704,5632,0.020012792199850082,0.020012792199850082
ctx:feature=hand wash only,item:feature=imported,feature×feature,565,41424,-0.0200127512216568,0.0200127512216568
ctx:feature=100% textile,item:feature=100% textile,feature×feature,791,6328,0.020012667402625084,0.020012667402625084
ctx:feature=imported,item:feature=100% synthetic,feature×feature,975,137456,-0.020012658089399338,0.020012658089399338
ctx:feature=imported,item:feature=button closure,feature×feature,646,137456,-0.020012609660625458,0.020012609660625458
ctx:material=100% rayon,item:material=100% rayon,material×material,172,1376,0.020012572407722473,0.020012572407722473
ctx:feature=textile and synthetic,item:feature=textile and synthetic,feature×feature,177,1416,0.020012546330690384,0.020012546330690384
ctx:feature=100% mesh,item:feature=100% mesh,feature×feature,157,1256,0.020012514665722847,0.020012514665722847
ctx:feature=hand wash only,item:feature=hand wash only,feature×feature,5178,41424,0.020012512803077698,0.020012512803077698
ctx:style=department: boys,item:style=department: boys,style×style,188,1504,0.020012471824884415,0.020012471824884415
ctx:feature=manmade sole,item:material=100% leather,feature×material,469,9704,-0.02001246251165867,0.02001246251165867
ctx:category=shoes fashion sneakers,item:feature=imported,category×feature,2848,52544,-0.02001246064901352,0.02001246064901352
ctx:feature=100% synthetic,item:feature=100% synthetic,feature×feature,4627,37016,0.020012427121400833,0.020012427121400833
ctx:material=wool,item:material=wool,material×material,2100,16800,0.020012423396110535,0.020012423396110535
ctx:material=polyester,item:feature=is discontinued by manufacturer: no,material×feature,355,227088,-0.020012401044368744,0.020012401044368744
ctx:feature=pull on closure,item:rating=3.5,feature×rating,1526,85192,0.02001236379146576,0.02001236379146576
ctx:style=department: womens,item:material=leather,style×material,152,32528,-0.020012350752949715,0.020012350752949715
ctx:category=women shoes,item:rating=3.0,category×rating,480,38784,0.020012307912111282,0.020012307912111282
ctx:feature=button closure,item:price=missing,feature×price,2885,27600,-0.02001226507127285,0.02001226507127285
ctx:material=cotton,item:style=department: mens,material×style,145,261232,-0.020012183114886284,0.020012183114886284
ctx:category=jackets & vests down jackets & parkas,item:feature=zipper closure,category×feature,320,4672,-0.020012173801660538,0.020012173801660538
ctx:material=leather,item:price=35_50,material×price,595,223968,0.020012155175209045,0.020012155175209045
ctx:category=tops & tees t-shirts,item:price=20_35,category×price,368,32896,0.02001214027404785,0.02001214027404785
ctx:category=shoes oxfords,item:feature=rubber sole,category×feature,712,14208,-0.02001211978495121,0.02001211978495121
ctx:feature=foam sole,item:feature=foam sole,feature×feature,220,1760,0.02001209929585457,0.02001209929585457
ctx:style=department: unisex-child,item:style=department: unisex-child,style×style,130,1040,0.02001206763088703,0.02001206763088703
ctx:category=watches wrist watches,item:rating=5.0,category×rating,1688,54080,-0.020012065768241882,0.020012065768241882
ctx:category=sleep & lounge robes,item:feature=tie closure,category×feature,648,9216,-0.020012056455016136,0.020012056455016136
ctx:category=bracelets link,item:price=missing,category×price,448,6144,-0.02001205086708069,0.02001205086708069
ctx:feature=100% manmade,item:feature=100% manmade,feature×feature,663,5304,0.020012039691209793,0.020012039691209793
ctx:feature=100% polyurethane,item:feature=100% polyurethane,feature×feature,231,1848,0.020012039691209793,0.020012039691209793
ctx:feature=machine wash,item:material=cotton,feature×material,2225,51208,-0.020012035965919495,0.020012035965919495
ctx:category=tees & blouses t-shirts,item:material=cotton,category×material,1952,35136,-0.02001197636127472,0.02001197636127472
ctx:feature=mesh,item:feature=mesh,feature×feature,542,4336,0.020011965185403824,0.020011965185403824
ctx:style=department: unisex-adult,item:style=department: unisex-adult,style×style,375,3000,0.02001194655895233,0.02001194655895233
ctx:category=earrings stud,item:rating=5.0,category×rating,512,17600,-0.020011935383081436,0.020011935383081436
ctx:feature=is discontinued by manufacturer: no,item:rating=3.0,feature×rating,812,72744,0.02001189813017845,0.02001189813017845
ctx:material=fabric,item:material=fabric-and-synthetic,material×material,135,81896,0.02001189813017845,0.02001189813017845
ctx:material=leather,item:material=100% leather and synthetic,material×material,200,223968,0.020011868327856064,0.020011868327856064
ctx:category=tees & blouses t-shirts,item:price=0_10,category×price,168,35136,0.020011840388178825,0.020011840388178825
ctx:category=running road running,item:material=leather,category×material,200,27008,0.02001183293759823,0.02001183293759823
ctx:feature=fleece,item:feature=fleece,feature×feature,355,2840,0.02001182548701763,0.02001182548701763
ctx:feature=heather,item:feature=heather,feature×feature,125,1000,0.020011819899082184,0.020011819899082184
ctx:material=leather,item:price=10_20,material×price,745,223968,0.020011819899082184,0.020011819899082184
ctx:category=boots mid-calf,item:feature=rubber sole,category×feature,440,6784,-0.020011810585856438,0.020011810585856438
ctx:category=rompers & overalls jumpsuits,item:price=missing,category×price,1072,10176,-0.02001180499792099,0.02001180499792099
ctx:category=dresses formal,item:feature=zipper closure,category×feature,280,6208,-0.020011797547340393,0.020011797547340393
ctx:material=rayon,item:material=rayon,material×material,2865,22920,0.020011762157082558,0.020011762157082558
ctx:feature=button closure,item:material=100% polyester,feature×material,270,27600,-0.02001176029443741,0.02001176029443741
ctx:color=color: white,item:color=color: white,color×color,4167,33336,0.02001173049211502,0.02001173049211502
ctx:color=color: brown,item:feature=imported,color×feature,204,11088,-0.020011726766824722,0.020011726766824722
"ctx:material=95% polyester, 5% spandex","item:material=95% polyester, 5% spandex",material×material,480,3840,0.020011672750115395,0.020011672750115395
ctx:feature=imported,item:popularity=10,feature×popularity,331,137456,0.020011670887470245,0.020011670887470245
ctx:material=polyester,item:material=polyester lining,material×material,590,227088,0.02001163735985756,0.02001163735985756
ctx:category=shoes mules & clogs,item:feature=rubber sole,category×feature,688,14464,-0.020011618733406067,0.020011618733406067
ctx:category=women fashion hoodies & sweatshirts,item:price=20_35,category×price,152,17920,0.02001158520579338,0.02001158520579338
ctx:category=hats & caps baseball caps,item:price=missing,category×price,1664,20224,-0.02001156285405159,0.02001156285405159
ctx:category=hiking & trekking hiking boots,item:price=missing,category×price,744,6784,-0.020011555403470993,0.020011555403470993
ctx:feature=100% synthetic,item:rating=3.0,feature×rating,273,37016,0.020011506974697113,0.020011506974697113
ctx:feature=age range (description): adult,item:feature=age range (description): adult,feature×feature,109,872,0.020011454820632935,0.020011454820632935
ctx:material=100% fabric,item:material=100% fabric,material×material,231,1848,0.020011451095342636,0.020011451095342636
ctx:material=leather,item:style=department: womens,material×style,425,223968,-0.020011451095342636,0.020011451095342636
ctx:category=women shoes,item:rating=5.0,category×rating,1360,38784,-0.020011434331536293,0.020011434331536293
ctx:feature=composite frame,item:feature=composite frame,feature×feature,164,1312,0.020011430606245995,0.020011430606245995
ctx:category=sleep & lounge robes,item:rating=4.5,category×rating,528,9216,-0.02001142129302025,0.02001142129302025
ctx:material=100% cotton,item:rating=3.5,material×rating,373,30176,0.02001141756772995,0.02001141756772995
ctx:material=100% cotton,item:color=color: black,material×color,265,30176,-0.020011384040117264,0.020011384040117264
"ctx:material=polyester,spandex","item:material=polyester,spandex",material×material,278,2224,0.02001136913895607,0.02001136913895607
ctx:category=tops & tees t-shirts,item:popularity=1,category×popularity,1576,32896,-0.020011354237794876,0.020011354237794876
ctx:color=color: black,item:color=color: black,color×color,11233,89864,0.02001134306192398,0.02001134306192398
ctx:feature=dry cloth clean,item:feature=dry cloth clean,feature×feature,187,1496,0.020011335611343384,0.020011335611343384
ctx:material=cotton,item:color=color: black,material×color,3346,261232,-0.02001131884753704,0.02001131884753704
ctx:category=costumes & cosplay apparel costumes,item:material=100% polyester,category×material,488,16256,-0.020011315122246742,0.020011315122246742
ctx:category=women leggings,item:rating=4.5,category×rating,376,13248,0.020011240616440773,0.020011240616440773
ctx:feature=no closure closure,item:feature=no closure closure,feature×feature,302,2416,0.020011235028505325,0.020011235028505325
"ctx:material=80% nylon, 20% spandex","item:material=80% nylon, 20% spandex",material×material,63,504,0.020011233165860176,0.020011233165860176
ctx:material=100% cotton,item:price=10_20,material×price,444,30176,0.02001122385263443,0.02001122385263443
ctx:style=department: mens,item:style=department: mens,style×style,1499,11992,0.020011205226182938,0.020011205226182938
ctx:feature=elastic closure,item:feature=elastic closure,feature×feature,780,6240,0.020011182874441147,0.020011182874441147
ctx:material=spandex,item:material=spandex,material×material,2116,16928,0.020011182874441147,0.020011182874441147
ctx:category=boots ankle & bootie,item:popularity=4,category×popularity,464,19072,-0.020011169835925102,0.020011169835925102
ctx:material=nylon,"item:material=92% nylon, 8% spandex",material×material,140,51680,0.020011169835925102,0.020011169835925102
ctx:category=athletic walking,item:rating=3.0,category×rating,144,17280,0.020011167973279953,0.020011167973279953
"ctx:feature=heel measures approximately 1.25""","item:feature=heel measures approximately 1.25""",feature×feature,61,488,0.02001113072037697,0.02001113072037697
ctx:feature=cork sole,item:feature=cork sole,feature×feature,102,816,0.02001112699508667,0.02001112699508667
ctx:feature=plastic frame,item:feature=plastic frame,feature×feature,578,4624,0.02001112699508667,0.02001112699508667
ctx:feature=synthetic sole,item:price=missing,feature×price,1648,14424,-0.02001112699508667,0.02001112699508667
ctx:feature=gemstones may have been treated to improve their appearance or durability and may require special care,item:feature=gemstones may have been treated to improve their appearance or durability and may require special care,feature×feature,67,536,0.020011119544506073,0.020011119544506073
ctx:material=polyester,item:feature=made in the usa,material×feature,105,227088,0.02001110650599003,0.02001110650599003
ctx:category=dresses casual,item:color=color: blue,category×color,232,40384,0.020011086016893387,0.020011086016893387
ctx:category=tees & blouses blouses & button-down shirts,item:popularity=9,category×popularity,136,34624,0.02001108229160309,0.02001108229160309
ctx:material=100% leather,item:popularity=2,material×popularity,548,29008,0.020011072978377342,0.020011072978377342
ctx:category=shirts t-shirts,item:feature=made in usa or imported,category×feature,120,68480,0.0200110524892807,0.0200110524892807
ctx:feature=made in the usa or imported,item:feature=made in the usa or imported,feature×feature,671,5368,0.020011037588119507,0.020011037588119507
ctx:category=women jeans,item:material=cotton,category×material,1224,15424,-0.02001103200018406,0.02001103200018406
ctx:category=watches wrist watches,item:rating=2.5,category×rating,120,54080,0.020011018961668015,0.020011018961668015
ctx:category=tees & blouses tanks & camis,item:feature=button closure,category×feature,136,19200,0.02001100406050682,0.02001100406050682
"ctx:feature=the perfect gift— our latest statement piece offers a beautiful silhouette that was carefully handmade by our in-house designers with the intention to create a long lasting, beauti",item:feature=fall in love— great jewelry ornaments to wear for parties and family gatherings; makes a wonderful gift for your loved ones on special occassions. these lovely statement pieces are,feature×feature,105,920,0.020011000335216522,0.020011000335216522
ctx:category=accessories belts,item:material=polyester,category×material,104,13632,0.020010996609926224,0.020010996609926224
ctx:category=tees & blouses tunics,item:price=20_35,category×price,176,26368,0.02001097798347473,0.02001097798347473
ctx:material=cotton blend,item:material=cotton blend,material×material,296,2368,0.02001095935702324,0.02001095935702324
ctx:category=bracelets cuff,item:color=color: black,category×color,136,5120,-0.020010951906442642,0.020010951906442642
ctx:feature=hand wash only,item:material=polyester,feature×material,1187,41424,-0.02001093327999115,0.02001093327999115
ctx:category=sandals heeled sandals,item:rating=3.0,category×rating,112,16896,0.020010922104120255,0.020010922104120255
ctx:category=shoes sandals,item:material=100% leather,category×material,704,30272,-0.020010922104120255,0.020010922104120255
ctx:feature=machine wash,item:feature=is discontinued by manufacturer: no,feature×feature,389,51208,-0.02001091279089451,0.02001091279089451
ctx:category=sandals platforms & wedges,item:popularity=1,category×popularity,552,28800,0.02001091092824936,0.02001091092824936
ctx:material=spandex,item:material=8% spandex,material×material,65,16928,0.020010873675346375,0.020010873675346375
ctx:feature=resin frame,item:feature=resin frame,feature×feature,59,472,0.020010847598314285,0.020010847598314285
ctx:feature=zipper closure,item:price=35_50,feature×price,136,29336,0.020010828971862793,0.020010828971862793
ctx:color=color: red,item:rating=4.5,color×rating,639,19336,-0.020010821521282196,0.020010821521282196
ctx:category=sleep & lounge sets,item:feature=imported,category×feature,416,14656,-0.020010799169540405,0.020010799169540405
ctx:category=pants casual,item:material=polyester,category×material,224,12480,0.020010769367218018,0.020010769367218018
ctx:material=leather,item:price=100_150,material×price,380,223968,0.020010769367218018,0.020010769367218018
ctx:material=fabric,item:feature=dry clean only,material×feature,95,81896,0.02001076750457287,0.02001076750457287
ctx:category=watches wrist watches,item:price=50_75,category×price,72,54080,0.02001076191663742,0.02001076191663742
ctx:category=athletic fitness & cross-training,item:feature=100% synthetic,category×feature,160,7360,-0.020010726526379585,0.020010726526379585
ctx:category=shoes oxfords,item:material=100% leather,category×material,848,14208,-0.020010724663734436,0.020010724663734436
ctx:category=hats & caps baseball caps,item:price=0_10,category×price,56,20224,0.02001069486141205,0.02001069486141205
ctx:category=shirts t-shirts,item:popularity=3,category×popularity,1248,68480,0.020010685548186302,0.020010685548186302
ctx:feature=pull on closure,item:feature=made in the usa or imported,feature×feature,117,85192,0.020010683685541153,0.020010683685541153
ctx:category=tops & tees tanks & camis,item:material=cotton,category×material,280,5248,-0.020010672509670258,0.020010672509670258
"ctx:material=60% cotton, 40% polyester",item:material=cotton,material×material,401,3224,0.02001066505908966,0.02001066505908966
ctx:category=shirts polos,item:material=100% cotton,category×material,232,7424,-0.020010629668831825,0.020010629668831825
ctx:category=tops tees & blouses,item:price=missing,category×price,568,5120,-0.020010625943541527,0.020010625943541527
"ctx:material=60% cotton, 40% polyester","item:material=60% cotton, 40% polyester",material×material,403,3224,0.020010624080896378,0.020010624080896378
ctx:color=color: grey,"item:material=solid colors: 100% cotton; heather grey: 90% cotton, 10% polyester; all other heathers: 50% cotton, 50% polyester",color×material,700,18392,-0.020010612905025482,0.020010612905025482
"ctx:color=items that are handmade may vary in size, shape and color","item:color=items that are handmade may vary in size, shape and color",color×color,158,1264,0.020010612905025482,0.020010612905025482
ctx:feature=material: stainless steel,item:feature=material: stainless steel,feature×feature,101,808,0.020010611042380333,0.020010611042380333
ctx:category=card cases & money organizers wallets,item:price=missing,category×price,1768,18560,-0.0200105719268322,0.0200105719268322
ctx:category=shirts t-shirts,item:color=color: blue,category×color,384,68480,0.020010557025671005,0.020010557025671005
ctx:feature=material:alloy,item:feature=material:alloy,feature×feature,46,368,0.020010530948638916,0.020010530948638916
ctx:material=cotton,"item:material=97% cotton, 3% spandex",material×material,100,261232,0.020010527223348618,0.020010527223348618
ctx:color=color: pink,item:style=department: womens,color×style,90,13200,-0.02001049369573593,0.02001049369573593
ctx:feature=dry clean only,item:feature=dry clean only,feature×feature,365,2920,0.020010482519865036,0.020010482519865036
ctx:category=athletic walking,item:color=color: white,category×color,96,17280,0.020010467618703842,0.020010467618703842
ctx:category=rings statement,item:popularity=1,category×popularity,456,12416,-0.020010462030768394,0.020010462030768394
ctx:category=skirts casual,item:material=polyester,category×material,120,3136,-0.020010460168123245,0.020010460168123245
ctx:category=sandals platforms & wedges,item:price=50_75,category×price,56,28800,0.02001045271754265,0.02001045271754265
"ctx:material=55% cotton, 45% polyester","item:material=55% cotton, 45% polyester",material×material,64,512,0.02001044899225235,0.02001044899225235
ctx:category=men jerseys,item:rating=4.5,category×rating,192,3392,-0.020010441541671753,0.020010441541671753
ctx:category=tees & shirts tees,item:material=100% cotton,category×material,208,3328,-0.020010441541671753,0.020010441541671753
ctx:category=women leggings,item:price=10_20,category×price,112,13248,0.020010419189929962,0.020010419189929962
ctx:category=shoes sandals,item:feature=made in the usa or imported,category×feature,88,30272,0.020010411739349365,0.020010411739349365
ctx:material=100% spandex,item:material=spandex,material×material,79,640,0.02001039870083332,0.02001039870083332
ctx:category=shoes sandals,item:popularity=9,category×popularity,64,30272,0.020010393112897873,0.020010393112897873
ctx:category=suits & sport coats suits,item:feature=button closure,category×feature,136,2048,-0.020010393112897873,0.020010393112897873
ctx:category=swimsuits & cover ups one-pieces,item:price=20_35,category×price,120,11456,0.020010370761156082,0.020010370761156082
ctx:color=color: white,item:rating=5.0,color×rating,847,33336,-0.020010367035865784,0.020010367035865784
ctx:feature=100% synthetic,item:brand=lifestride,feature×brand,110,37016,0.020010361447930336,0.020010361447930336
ctx:feature=man made sole,item:feature=man made sole,feature×feature,290,2320,0.02001035213470459,0.02001035213470459
ctx:feature=machine wash,item:price=35_50,feature×price,127,51208,0.02001034840941429,0.02001034840941429
ctx:category=tees & blouses t-shirts,item:material=100% cotton,category×material,760,35136,-0.020010337233543396,0.020010337233543396
ctx:category=active active shirts & tees,item:material=nylon,category×material,80,13504,0.02001033164560795,0.02001033164560795
ctx:category=shoes & jewelry women,item:material=rayon,category×material,104,22848,0.020010318607091904,0.020010318607091904
ctx:category=sandals heeled sandals,item:brand=aldo,category×brand,32,16896,-0.020010314881801605,0.020010314881801605
ctx:category=handbags & wallets satchels,item:price=missing,category×price,352,3456,-0.02001028135418892,0.02001028135418892
ctx:material=cotton blend,item:price=missing,material×price,188,2368,-0.02001028135418892,0.02001028135418892
ctx:feature=hand wash,item:feature=hand wash,feature×feature,132,1056,0.020010273903608322,0.020010273903608322
ctx:material=synthetic leather,item:material=synthetic leather,material×material,44,352,0.020010266453027725,0.020010266453027725
ctx:category=work & utility industrial & construction boots,item:price=missing,category×price,248,2624,-0.020010262727737427,0.020010262727737427
ctx:material=nylon,item:price=10_20,material×price,455,51680,0.020010262727737427,0.020010262727737427
ctx:category=women leggings,item:color=color: white,category×color,80,13248,0.02001023106276989,0.02001023106276989
ctx:category=bracelets link,item:rating=3.0,category×rating,64,6144,0.020010214298963547,0.020010214298963547
ctx:feature=faux fur,item:feature=faux fur,feature×feature,144,1152,0.02001020312309265,0.02001020312309265
ctx:material=wool,item:material=100% merino wool,material×material,60,16800,0.020010171458125114,0.020010171458125114
ctx:feature=imported,item:rating=1.0,feature×rating,178,137456,0.020010121166706085,0.020010121166706085
ctx:category=shoes & jewelry westlake,item:material=nylon,category×material,72,58944,0.020010119304060936,0.020010119304060936
ctx:category=active active base layers,item:price=missing,category×price,176,1856,-0.020010102540254593,0.020010102540254593
ctx:category=clutches & evening bags clutches,item:rating=5.0,category×rating,112,1920,-0.020010095089673996,0.020010095089673996
ctx:category=shoes pumps,item:color=color: blue,category×color,64,33024,0.020010095089673996,0.020010095089673996
ctx:category=women shoes,item:feature=rubber,category×feature,48,38784,0.020010069012641907,0.020010069012641907
ctx:category=skirts casual,item:feature=zipper closure,category×feature,88,3136,-0.02001006528735161,0.02001006528735161
ctx:category=dresses casual,item:feature=button closure,category×feature,320,40384,0.02001005783677101,0.02001005783677101
"ctx:material=spandex,nylon",item:material=spandex,material×material,68,544,0.020010031759738922,0.020010031759738922
ctx:material=cotton,item:color=color: red,material×color,900,261232,0.02001001685857773,0.02001001685857773
ctx:category=base layers & compression compression pants & tights,item:price=missing,category×price,328,3008,-0.02001001127064228,0.02001001127064228
ctx:material=polyester,"item:material=polyester,spandex,nylon",material×material,65,227088,0.020010005682706833,0.020010005682706833
ctx:category=card cases & money organizers wallets,item:material=leather,category×material,1728,18560,-0.020009981468319893,0.020009981468319893
ctx:category=shoes sandals,item:material=leather sole,category×material,240,30272,-0.020009970292448997,0.020009970292448997
ctx:category=shoes pumps,item:feature=manmade sole,category×feature,840,33024,-0.02000994235277176,0.02000994235277176
ctx:category=earrings hoop,item:price=missing,category×price,768,10240,-0.020009908825159073,0.020009908825159073
ctx:feature=100% synthetic,item:feature=rubber sole,feature×feature,1961,37016,-0.020009905099868774,0.020009905099868774
ctx:color=color: black,item:feature=rubber sole,color×feature,939,89864,-0.020009899511933327,0.020009899511933327
ctx:category=swimsuits & cover ups one-pieces,item:material=fabric,category×material,176,11456,-0.020009886473417282,0.020009886473417282
ctx:material=polyester,"item:material=92% polyester, 8% spandex",material×material,345,227088,0.020009886473417282,0.020009886473417282
ctx:material=polyester,item:brand=shein,material×brand,100,227088,0.020009860396385193,0.020009860396385193
ctx:category=tops & tees t-shirts,item:price=0_10,category×price,72,32896,0.020009830594062805,0.020009830594062805
ctx:feature=imported,item:price=20_35,feature×price,1094,137456,0.02000974304974079,0.02000974304974079
ctx:category=women jeans,item:brand=goodthreads,category×brand,40,15424,-0.020009737461805344,0.020009737461805344
ctx:material=100% cotton,item:rating=3.0,material×rating,137,30176,0.020009731873869896,0.020009731873869896
ctx:category=sandals platforms & wedges,item:material=100% leather,category×material,952,28800,-0.020009730011224747,0.020009730011224747
ctx:category=women wigs,item:color=color: black,category×color,144,3776,-0.020009730011224747,0.020009730011224747
