context_feature,item_feature,field_pair,seed_count,mean_weight,weight_stddev,minimum_weight,maximum_weight,positive_seed_fraction,same_nonzero_sign_all_seeds
ctx:feature=rubber sole,item:feature=rubber sole,feature×feature,5,0.17810538336634635,0.12909326018610429,0.01999928615987301,0.28399717807769775,1.0,True
ctx:feature=pull on closure,item:material=fabric,feature×material,5,-0.175185252353549,0.12773418119570054,-0.28908753395080566,-0.018852077424526215,0.0,True
ctx:feature=non-polarized,item:feature=non-polarized,feature×feature,5,0.17472792081534863,0.12633268665451075,0.020004572346806526,0.2786119878292084,1.0,True
ctx:feature=pull on closure,item:feature=pull on closure,feature×feature,5,0.17462050691246986,0.12624404077280946,0.020005594938993454,0.2784140706062317,1.0,True
ctx:material=100% leather,item:color=color: black,material×color,5,-0.17361972518265248,0.12580682039531463,-0.2816082835197449,-0.01965729147195816,0.0,True
ctx:material=leather,item:material=leather,material×material,5,0.17308148518204688,0.12498909083176872,0.020001765340566635,0.27534595131874084,1.0,True
ctx:material=100% leather,item:material=100% leather,material×material,5,0.1729690723121166,0.12490647568918528,0.01999044045805931,0.2754419445991516,1.0,True
ctx:feature=plastic frame,item:feature=plastic frame,feature×feature,5,0.1721298098564148,0.12421015659872775,0.02001112699508667,0.2754031717777252,1.0,True
ctx:material=100% polyester,item:color=color: black,material×color,5,-0.1716917097568512,0.12446182060453521,-0.284730464220047,-0.01996568590402603,0.0,True
ctx:feature=pull on closure,item:material=polyester,feature×material,5,-0.17125703170895576,0.12371859374821634,-0.2812197506427765,-0.020013168454170227,0.0,True
ctx:feature=button closure,item:feature=button closure,feature×feature,5,0.17118785679340362,0.12344459284131207,0.020013121888041496,0.2748381495475769,1.0,True
ctx:feature=zipper closure,item:feature=zipper closure,feature×feature,5,0.17104450315237046,0.1233262397981245,0.02000497281551361,0.27290409803390503,1.0,True
ctx:feature=imported,item:feature=imported,feature×feature,5,0.1706060141324997,0.12296338649707862,0.020007718354463577,0.27148059010505676,1.0,True
ctx:material=100% leather,item:color=color: brown,material×color,5,-0.17043491080403328,0.12295820281663307,-0.2752164304256439,-0.019893798977136612,0.0,True
ctx:feature=machine wash,item:feature=machine wash,feature×feature,5,0.17018440626561643,0.12262033702577844,0.020008297637104988,0.2716594636440277,1.0,True
ctx:material=cotton,item:material=cotton,material×material,5,0.17013929076492787,0.12258506017684269,0.020006749778985977,0.27165454626083374,1.0,True
ctx:feature=uv protection coating coating,item:feature=uv protection coating coating,feature×feature,5,0.16977064609527587,0.1222894336651603,0.020001139491796494,0.27065324783325195,1.0,True
ctx:feature=100% synthetic,item:feature=100% synthetic,feature×feature,5,0.16948317661881446,0.12204938083489449,0.020012427121400833,0.270860493183136,1.0,True
ctx:feature=synthetic sole,item:feature=synthetic sole,feature×feature,5,0.16941269263625144,0.12199787451273511,0.020007360726594925,0.2710860073566437,1.0,True
ctx:feature=hand wash only,item:feature=hand wash only,feature×feature,5,0.16930921897292137,0.12190556051994403,0.020012255758047104,0.27088257670402527,1.0,True
ctx:feature=metal frame,item:feature=metal frame,feature×feature,5,0.16921682469546795,0.12183464305535086,0.020004678517580032,0.2704838812351227,1.0,True
ctx:feature=polarized,item:feature=polarized,feature×feature,5,0.1691961444914341,0.1218823502919326,0.019928235560655594,0.2708264887332916,1.0,True
ctx:feature=pull-on closure,item:feature=pull-on closure,feature×feature,5,0.1688985053449869,0.1215786434697242,0.02001284994184971,0.2714398503303528,1.0,True
ctx:feature=elastic closure,item:feature=elastic closure,feature×feature,5,0.1688366774469614,0.12152508529433328,0.020010745152831078,0.26968368887901306,1.0,True
ctx:feature=is discontinued by manufacturer: no,item:feature=is discontinued by manufacturer: no,feature×feature,5,0.16882516741752623,0.1215184379237183,0.020007893443107605,0.26975396275520325,1.0,True
ctx:feature=tie closure,item:feature=tie closure,feature×feature,5,0.16870764270424843,0.1214154970948412,0.020006265491247177,0.2686818242073059,1.0,True
ctx:feature=100% acrylic,item:feature=100% acrylic,feature×feature,5,0.16868185326457025,0.12140011654508459,0.020005349069833755,0.2700982093811035,1.0,True
ctx:feature=100% synthetic,item:material=fabric,feature×material,5,-0.16858348101377488,0.12171442643971855,-0.27531322836875916,-0.019611988216638565,0.0,True
ctx:color=color: black,item:color=color: black,color×color,5,0.16851168051362037,0.12125192137817692,0.02001119777560234,0.2687189280986786,1.0,True
ctx:feature=hook and eye closure,item:feature=hook and eye closure,feature×feature,5,0.16828228272497653,0.12113386497492155,0.019923122599720955,0.2680968940258026,1.0,True
ctx:color=color: white,item:color=color: white,color×color,5,0.16824913173913955,0.12103866200361392,0.02001173049211502,0.2686064541339874,1.0,True
ctx:color=color: yellow,item:color=color: yellow,color×color,5,0.16820172108709813,0.12101886972382962,0.019997337833046913,0.26942116022109985,1.0,True
ctx:feature=buckle closure,item:feature=buckle closure,feature×feature,5,0.168125656619668,0.12093541419350269,0.020012754946947098,0.2679181694984436,1.0,True
ctx:feature=drawstring closure,item:feature=drawstring closure,feature×feature,5,0.16808054447174073,0.12092252086424676,0.020005030557513237,0.2700817883014679,1.0,True
ctx:feature=quartz movement,item:feature=quartz movement,feature×feature,5,0.1678199041634798,0.12069426899565924,0.020009079948067665,0.2687710225582123,1.0,True
ctx:feature=dry cloth clean,item:feature=dry cloth clean,feature×feature,5,0.16770865358412265,0.12062279984101937,0.020011188462376595,0.2690744996070862,1.0,True
ctx:feature=snap closure,item:feature=snap closure,feature×feature,5,0.1673982720822096,0.12034261690799332,0.020012760534882545,0.26713088154792786,1.0,True
ctx:feature=cork sole,item:feature=cork sole,feature×feature,5,0.16727023683488368,0.12025068197970915,0.02001112513244152,0.268766313791275,1.0,True
ctx:color=color: pink,item:color=color: pink,color×color,5,0.167159516364336,0.12015403662229163,0.020002346485853195,0.26578280329704285,1.0,True
ctx:feature=manmade sole,item:feature=manmade sole,feature×feature,5,0.16715254336595536,0.1201581419896725,0.01999950036406517,0.26662254333496094,1.0,True
ctx:color=color: blue,item:color=color: blue,color×color,5,0.166698794439435,0.11977750142742993,0.020005399361252785,0.2654067277908325,1.0,True
ctx:style=department: unisex-child,item:style=department: unisex-child,style×style,5,0.16667635403573514,0.1197541622532871,0.020011406391859055,0.26577499508857727,1.0,True
ctx:material=polyester,item:material=polyester,material×material,5,0.16652147769927977,0.11964500538754856,0.019988730549812317,0.2652254104614258,1.0,True
ctx:feature=foam sole,item:feature=foam sole,feature×feature,5,0.1664536040276289,0.11956975505767903,0.02001209929585457,0.2646512985229492,1.0,True
ctx:feature=material: alloy,item:feature=material: alloy,feature×feature,5,0.16631847470998765,0.11949125610321375,0.0199919193983078,0.26744499802589417,1.0,True
ctx:material=wool,item:material=wool,material×material,5,0.16628714576363562,0.11945882735814771,0.020012423396110535,0.26732152700424194,1.0,True
ctx:color=color: green,item:color=color: green,color×color,5,0.1662193827331066,0.11940051532656107,0.020006099715828896,0.26749417185783386,1.0,True
ctx:feature=100% mesh,item:feature=100% mesh,feature×feature,5,0.1661397811025381,0.11932491416390589,0.020012514665722847,0.2666461765766144,1.0,True
ctx:material=cotton,item:style=department: mens,material×style,5,-0.1661369301378727,0.11938596619223862,-0.2700847089290619,-0.020012183114886284,0.0,True
ctx:material=leather sole,item:material=leather sole,material×material,5,0.16611640602350236,0.11929783319072479,0.020013242959976196,0.26501476764678955,1.0,True
ctx:feature=made in usa,item:feature=made in usa,feature×feature,5,0.16610576808452607,0.11928540896505069,0.020013198256492615,0.2644006013870239,1.0,True
ctx:style=department: womens,item:style=department: womens,style×style,5,0.16610297411680222,0.11931228700424348,0.020002171397209167,0.26759546995162964,1.0,True
ctx:color=color: red,item:color=color: red,color×color,5,0.16602344959974288,0.11922883699199598,0.02000533416867256,0.2651863694190979,1.0,True
ctx:color=color: brown,item:color=color: brown,color×color,5,0.1658494584262371,0.11908332546902972,0.020005609840154648,0.2645511031150818,1.0,True
ctx:material=silk,item:material=silk,material×material,5,0.1658287838101387,0.1190709101054807,0.020003776997327805,0.26489129662513733,1.0,True
ctx:feature=line dry,item:feature=line dry,feature×feature,5,0.16580322831869126,0.11906870201294267,0.019989144057035446,0.26502761244773865,1.0,True
ctx:feature=hook and loop closure,item:feature=hook and loop closure,feature×feature,5,0.16561491936445236,0.11890295863670335,0.019988365471363068,0.26320189237594604,1.0,True
ctx:style=department: mens,item:style=department: mens,style×style,5,0.16556141525506973,0.11884202543816288,0.020011205226182938,0.26344549655914307,1.0,True
ctx:feature=100% canvas,item:feature=100% canvas,feature×feature,5,0.1655127674341202,0.11880558639237465,0.020005762577056885,0.26292285323143005,1.0,True
ctx:feature=100% synthetic and mesh,item:feature=100% synthetic and mesh,feature×feature,5,0.16549007892608641,0.11881342807811755,0.020008783787488937,0.2652968168258667,1.0,True
ctx:feature=dry clean only,item:feature=dry clean only,feature×feature,5,0.16537549793720246,0.11869027010795274,0.02001047506928444,0.2625700831413269,1.0,True
ctx:feature=100% textile and synthetic,item:feature=100% textile and synthetic,feature×feature,5,0.16532086282968522,0.11866142387447244,0.020009241998195648,0.2645767331123352,1.0,True
ctx:feature=mesh,item:feature=mesh,feature×feature,5,0.1652716040611267,0.11860573934945062,0.020011480897665024,0.262920618057251,1.0,True
ctx:material=cotton,item:style=department: womens,material×style,5,-0.16517976596951484,0.11864965667783953,-0.26983994245529175,-0.019990500062704086,0.0,True
ctx:color=color: purple,item:color=color: purple,color×color,5,0.16487254872918128,0.11828980811334794,0.020005274564027786,0.26298385858535767,1.0,True
ctx:feature=plastic lens,item:feature=plastic lens,feature×feature,5,0.16481284983456135,0.1182816041766256,0.01996421255171299,0.264222651720047,1.0,True
ctx:feature=material:alloy,item:feature=material:alloy,feature×feature,5,0.16479836888611316,0.11822670537352846,0.0200104508548975,0.2637884020805359,1.0,True
ctx:material=nylon,item:material=nylon,material×material,5,0.1647946283221245,0.11823540470460862,0.02001320943236351,0.26547345519065857,1.0,True
ctx:color=color: grey,item:color=color: grey,color×color,5,0.16478609591722487,0.11822400439379593,0.020006749778985977,0.2644379138946533,1.0,True
ctx:feature=rubber sole,item:material=cotton,feature×material,5,-0.16478252708911895,0.11892060494143769,-0.2769985496997833,-0.019866187125444412,0.0,True
ctx:feature=elastic,item:feature=elastic,feature×feature,5,0.16443576328456402,0.11795076701350143,0.019988562911748886,0.26285502314567566,1.0,True
ctx:color=color: orange,item:color=color: orange,color×color,5,0.16436678022146226,0.11789388170786778,0.020001282915472984,0.262951523065567,1.0,True
ctx:feature=satin,item:feature=satin,feature×feature,5,0.16420755498111247,0.11777102297370369,0.019972266629338264,0.2619191110134125,1.0,True
ctx:material=fabric,item:feature=is discontinued by manufacturer: no,material×feature,5,-0.16418401300907134,0.11774708886210784,-0.26421481370925903,-0.020009450614452362,0.0,True
