context_field,item_field,field_pair,cross_count,positive_support,comparable_negative_support,mean_absolute_weight,max_absolute_weight,positive_weight_count,negative_weight_count,active_public_state_count,mean_absolute_active_contribution,baseline_state_mrr,ablated_state_mrr,mrr_importance,baseline_state_hit_at_10,ablated_state_hit_at_10,hit_at_10_importance
feature,style,feature×style,59,7664,2353648,0.09458337711580729,0.2553073465824127,37,22,13,0.13272618763048236,0.5753133700502122,0.536865326865327,0.03844804318488526,0.6923076923076923,0.6923076923076923,0.0
feature,material,feature×material,339,58550,14975288,0.08931478361185684,0.2899269759654999,72,267,306,0.31301587582360596,0.7634800887058365,0.7441829459616307,0.019297142744205797,0.9803921568627451,0.9803921568627451,0.0
material,price,material×price,197,131443,8849968,0.039008287499602036,0.14383834600448608,123,73,815,0.07545996458601231,0.7385141875832126,0.7271969110624451,0.011317276520767527,0.912883435582822,0.9153374233128835,-0.0024539877300614465
material,popularity,material×popularity,242,128283,13951584,0.04584969711044518,0.17856676876544952,141,101,729,0.047661341254164005,0.707666752922247,0.6963573111664537,0.011309441755793292,0.9026063100137174,0.8998628257887518,0.00274348422496562
category,price,category×price,1476,301768,11125504,0.056963259456925305,0.25575441122055054,801,583,1780,0.0890674460182787,0.7677611715244299,0.7572493240425344,0.010511847481895487,0.9084269662921348,0.9084269662921348,0.0
feature,popularity,feature×popularity,595,95476,8546640,0.05054148038763146,0.2056359499692917,374,221,342,0.059394982961561926,0.7781430033449882,0.787826688461499,-0.009683685116510743,0.9824561403508771,0.9824561403508771,0.0
material,brand,material×brand,891,43157,172471576,0.058059050128252326,0.1917879283428192,733,158,464,0.06856396146277527,0.6238312794697617,0.6324256894926704,-0.008594410022908727,0.8469827586206896,0.8469827586206896,0.0
feature,feature,feature×feature,1096,190749,26559512,0.12662049065236541,0.3023284673690796,778,318,481,0.31757214838048436,0.8380975200498669,0.8452959316467757,-0.007198411596908816,0.9875259875259875,0.9875259875259875,0.0
category,rating,category×rating,2079,298192,14925696,0.05669675416026917,0.24340704083442688,1119,953,1905,0.08077670186216286,0.7803752678810947,0.773960337608491,0.006414930272603647,0.9144356955380577,0.9212598425196851,-0.006824146981627366
category,popularity,category×popularity,2665,287536,21103808,0.052083662819679945,0.25278839468955994,1339,1325,1233,0.054338865191560046,0.6715101607223259,0.6656448287520668,0.00586533197025918,0.8678021086780211,0.8669910786699108,0.0008110300081103361
feature,brand,feature×brand,532,23819,35786992,0.07349287540169566,0.24504411220550537,412,120,222,0.10829169380504705,0.7646016838317691,0.7701831340146122,-0.005581450182843173,0.9774774774774775,0.9774774774774775,0.0
material,material,material×material,529,214403,58850864,0.1395069123448237,0.2750416100025177,510,19,815,0.35264385182870495,0.7385141875832126,0.7339029741117346,0.004611213471478082,0.912883435582822,0.9349693251533743,-0.022085889570552242
category,style,category×style,297,23904,3433088,0.05652910046928534,0.20205903053283691,119,178,125,0.07895392316921877,0.13356706490888068,0.12922400224973685,0.0043430626591438315,0.224,0.208,0.016000000000000014
material,style,material×style,20,1475,3488376,0.1865279777441174,0.2565988302230835,3,17,37,0.23124912961678787,0.19361197576745848,0.18947699099454754,0.004134984772910938,0.43243243243243246,0.43243243243243246,0.0
feature,color,feature×color,248,29541,7222464,0.07193056657542324,0.2692658007144928,128,120,133,0.08728500900584092,0.706202309353279,0.7022195293480125,0.0039827800052665285,0.9548872180451128,0.9548872180451128,0.0
material,feature,material×feature,608,161968,71224296,0.06567962620642663,0.2628296911716461,325,283,767,0.1128842578496842,0.7221500167931135,0.7189798039012757,0.0031702128918378314,0.9074315514993481,0.9061277705345502,0.0013037809647978849
category,brand,category×brand,1665,74976,36164096,0.042873691614296335,0.19848960638046265,907,755,826,0.05488531992515151,0.6816726797278222,0.6843173683559193,-0.0026446886280970805,0.8341404358353511,0.8341404358353511,0.0
material,color,material×color,120,40207,11224736,0.1096315826716212,0.2791641056537628,34,86,323,0.11116084024939289,0.5119888427667239,0.5144237513497006,-0.0024349085829767914,0.7801857585139319,0.7801857585139319,0.0
category,feature,category×feature,2852,335960,36663360,0.051225645014427425,0.2185419648885727,1480,1366,1609,0.11174984333240769,0.7504958270642548,0.752114204480036,-0.0016183774157811914,0.8999378495960224,0.9042883778744562,-0.004350528278433741
category,color,category×color,1245,101616,15400640,0.049073175407595926,0.2404985874891281,644,600,701,0.06902577792608723,0.5706791843897411,0.5720728159409093,-0.0013936315511682285,0.7817403708987162,0.7831669044222539,-0.0014265335235377208
feature,price,feature×price,420,103207,5023776,0.035353864297420455,0.21519549190998077,272,138,447,0.09670828325634,0.8257827900312885,0.8268710917554054,-0.0010883017241168913,0.9865771812080537,0.9865771812080537,0.0
category,material,category×material,1935,239584,20797248,0.058950994577086156,0.22954975068569183,868,1060,1498,0.1225395561556845,0.7295984448859083,0.7306177616357692,-0.001019316749860888,0.8938584779706275,0.8925233644859814,0.0013351134846461
material,rating,material×rating,205,130145,8875464,0.03620928400196135,0.18462048470973969,115,90,815,0.03568518864784895,0.7385141875832126,0.7389586901526872,-0.0004445025694745919,0.912883435582822,0.9141104294478528,-0.0012269938650307788
feature,rating,feature×rating,511,98750,5939648,0.04114843383210451,0.15914767980575562,299,212,454,0.06428423405953156,0.8284689584669296,0.8284015934144301,6.736505249949065e-05,0.986784140969163,0.986784140969163,0.0
budget,budget,budget×budget,1,242,1936,0.2625565528869629,0.2625565528869629,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budget,category,budget×category,4,195,7744,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budget,color,budget×color,1,51,1936,0.0858604833483696,0.0858604833483696,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budget,popularity,budget×popularity,4,238,7744,0.048116784542798996,0.10715818405151367,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budget,price,budget×price,1,242,1936,0.12110349535942078,0.12110349535942078,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budget,rating,budget×rating,5,231,9680,0.03849941920489073,0.0545419417321682,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
