field_pair,cross_count,same_sign_cross_count,same_sign_fraction,mean_absolute_weight,mean_seed_stddev
budget×budget,1,1,1.0,0.16201552525162696,0.11597499174113518
budget×category,4,0,0.0,0.0,0.0
budget×color,1,1,1.0,0.07834964618086815,0.04867079565784407
budget×popularity,4,2,0.5,0.024436275544576346,0.02137148658618378
budget×price,1,1,1.0,0.03750660493969917,0.017830957619181773
budget×rating,5,2,0.4,0.01640105457045138,0.012980161654362976
category×brand,1665,941,0.5651651651651651,0.031298796703377194,0.022548005943882083
category×budget,6,4,0.6666666666666666,0.06180644718309244,0.04177764799790284
category×category,746,0,0.0,0.0,0.0
category×color,1245,648,0.5204819277108433,0.03370703412353479,0.026711518223610835
category×feature,2852,1600,0.5610098176718092,0.03643409096731333,0.027341734134382904
category×material,1935,1124,0.5808785529715762,0.04131700774056726,0.031061081526326324
category×popularity,2665,1512,0.5673545966228893,0.036112420999775484,0.026904088512167593
category×price,1476,900,0.6097560975609756,0.03989597663407098,0.027437418326685743
category×rating,2079,1183,0.569023569023569,0.03883914450996458,0.028926056212727758
category×size,6,4,0.6666666666666666,0.02349778594604383,0.012868682846781323
category×style,297,155,0.5218855218855218,0.038042266925736895,0.029413058127450483
category×use_case,1,0,0.0,0.004561067465692759,0.012753133181196263
color×brand,60,38,0.6333333333333333,0.042602858588409925,0.02853858270900989
color×budget,1,0,0.0,0.000362425297498703,0.027315971098162563
color×category,323,0,0.0,0.0,0.0
color×color,18,17,0.9444444444444444,0.14387382574948585,0.10330844561955488
color×feature,174,121,0.6954022988505747,0.06367704677211533,0.04781025448647133
color×material,124,64,0.5161290322580645,0.04979412462069435,0.04357052844792617
color×popularity,108,57,0.5277777777777778,0.04915995138257535,0.03859978406364873
color×price,79,32,0.4050632911392405,0.026495500949588663,0.024894643856139848
color×rating,92,40,0.43478260869565216,0.0312077761493603,0.027903968112860028
color×style,22,18,0.8181818181818182,0.07870580806312236,0.05663113129962192
feature×brand,532,360,0.6766917293233082,0.049984763436285516,0.034899970918500306
feature×category,987,0,0.0,0.0,0.0
feature×color,248,140,0.5645161290322581,0.045243901984353976,0.03878097997452201
feature×feature,1096,820,0.7481751824817519,0.07962919181958648,0.05727609801438058
feature×material,339,175,0.5162241887905604,0.056236158248008254,0.04698454231144544
feature×popularity,595,321,0.5394957983193277,0.034560394801753144,0.026536111338041266
feature×price,420,206,0.49047619047619045,0.02378741887307981,0.018304781586357257
feature×rating,511,260,0.5088062622309197,0.02870436639458587,0.02267147016100182
feature×size,1,1,1.0,0.05059272348880768,0.025616207592555944
feature×style,59,37,0.6271186440677966,0.060407835752624324,0.04624783459410148
material×brand,891,568,0.6374859708193041,0.038628051302557254,0.02698940957839161
material×budget,1,1,1.0,0.09622295685112477,0.06385226092304744
material×category,1075,0,0.0,0.0,0.0
material×color,120,56,0.4666666666666667,0.05788646645455932,0.056225435256059844
material×feature,608,287,0.4720394736842105,0.039101599093019586,0.03482017224162757
material×material,529,481,0.9092627599243857,0.08763730205843728,0.05851355383651355
material×popularity,242,109,0.45041322314049587,0.029684513923657205,0.026118749069262093
material×price,197,99,0.5025380710659898,0.026899347719228188,0.021003659144040582
material×rating,205,89,0.43414634146341463,0.023803004996322957,0.021827676811411192
material×size,2,2,1.0,0.016494001727551222,0.006326936338309147
material×style,20,16,0.8,0.11319229612126946,0.0812284721147524
material×use_case,1,0,0.0,0.03259311802685261,0.0323033483104407
size×category,1,0,0.0,0.0,0.0
size×feature,1,1,1.0,0.0682297796010971,0.040285926245968745
size×price,1,1,1.0,0.017060552909970283,0.005301862366210456
size×size,3,3,1.0,0.1027279119938612,0.0676350116506855
style×brand,7,3,0.42857142857142855,0.051705404716942995,0.04239475588488434
style×category,77,0,0.0,0.0,0.0
style×color,21,15,0.7142857142857143,0.06824531968172994,0.05345687227367635
style×feature,24,18,0.75,0.07466689431263755,0.05542448732987588
style×material,7,7,1.0,0.1400009598582983,0.09819138874279501
style×popularity,31,20,0.6451612903225806,0.05674181416510574,0.04066698303994699
style×price,17,4,0.23529411764705882,0.02117115376955446,0.027575564239203695
style×rating,31,18,0.5806451612903226,0.03418954650706221,0.026288055691455172
style×style,10,10,1.0,0.15408275760710238,0.10948698733358478
