comparison,metric,sample_count,observed_delta,bootstrap_replicates,ci_95_lower,ci_95_upper,ci_excludes_zero
fm_minus_linear,accuracy,200,-0.01,10000,-0.025,0.0,False
fm_minus_linear,mrr,200,-0.027017857142857142,10000,-0.08045590277777775,0.02487247023809522,False
fm_minus_linear,efficiency,200,-0.013999999999999999,10000,-0.0305,-0.0009999999999999992,True
fm_minus_linear,technical_score,200,-0.01590535714285714,10000,-0.03456590773809524,0.002202708333333335,False
candidate_minus_linear,accuracy,200,-0.02,10000,-0.04,-0.005,True
candidate_minus_linear,mrr,200,-0.011430555555555553,10000,-0.06890505952380953,0.04810297619047617,False
candidate_minus_linear,efficiency,200,-0.041999999999999996,10000,-0.0575,-0.027999999999999997,True
candidate_minus_linear,technical_score,200,-0.021829166666666656,10000,-0.045309583333333334,-0.0005895386904761755,True
candidate_minus_fm,accuracy,200,-0.01,10000,-0.03,0.01,False
candidate_minus_fm,mrr,200,0.015587301587301587,10000,-0.03747430555555555,0.07070744047619046,False
candidate_minus_fm,efficiency,200,-0.027999999999999997,10000,-0.04451249999999999,-0.010499999999999999,True
candidate_minus_fm,technical_score,200,-0.005923809523809517,10000,-0.027256726190476192,0.014138214285714297,False
