model,sample_id,scenario_type,hit,first_hit_turn,best_rank,reciprocal_rank,efficiency,technical_score_contribution
linear,public_0001,buying,True,1,1,1.0,1.0,1.0
linear,public_0002,intent_override,True,4,2,0.5,0.7,0.79
linear,public_0003,intent_override,True,3,1,1.0,0.8,0.9600000000000001
linear,public_0004,intent_override,True,3,4,0.25,0.8,0.735
linear,public_0005,buying,True,1,6,0.16666666666666666,1.0,0.75
linear,public_0006,browsing,True,1,3,0.3333333333333333,1.0,0.8
linear,public_0007,browsing,True,2,1,1.0,0.9,0.9800000000000001
linear,public_0008,buying,True,1,1,1.0,1.0,1.0
linear,public_0009,buying,True,2,1,1.0,0.9,0.9800000000000001
linear,public_0010,buying,True,1,3,0.3333333333333333,1.0,0.8
linear,public_0011,browsing,True,2,1,1.0,0.9,0.9800000000000001
linear,public_0012,browsing,True,2,2,0.5,0.9,0.8300000000000001
linear,public_0013,intent_override,True,5,1,1.0,0.6,0.92
linear,public_0014,browsing,True,1,5,0.2,1.0,0.76
linear,public_0015,browsing,True,1,3,0.3333333333333333,1.0,0.8
linear,public_0016,browsing,True,2,2,0.5,0.9,0.8300000000000001
linear,public_0017,buying,True,1,10,0.1,1.0,0.73
linear,public_0018,buying,True,1,4,0.25,1.0,0.7749999999999999
linear,public_0019,browsing,True,1,4,0.25,1.0,0.7749999999999999
linear,public_0020,buying,True,2,3,0.3333333333333333,0.9,0.78
linear,public_0021,browsing,True,1,1,1.0,1.0,1.0
linear,public_0022,buying,True,2,1,1.0,0.9,0.9800000000000001
linear,public_0023,intent_override,True,4,3,0.3333333333333333,0.7,0.74
linear,public_0024,buying,True,1,4,0.25,1.0,0.7749999999999999
linear,public_0025,browsing,True,1,1,1.0,1.0,1.0
linear,public_0026,buying,True,1,1,1.0,1.0,1.0
linear,public_0027,buying,True,1,8,0.125,1.0,0.7375
linear,public_0028,buying,True,2,3,0.3333333333333333,0.9,0.78
linear,public_0029,buying,True,1,1,1.0,1.0,1.0
linear,public_0030,buying,True,2,1,1.0,0.9,0.9800000000000001
linear,public_0031,buying,True,2,1,1.0,0.9,0.9800000000000001
linear,public_0032,buying,True,2,1,1.0,0.9,0.9800000000000001
