comparison,candidate,baseline,candidate_seed,baseline_seed,split,state_id,trajectory_id,scenario_type,scenario_state,turn_bucket,has_other_answer,supervision_weight_band,candidate_width,survivor_width_bucket,candidate_context_sha256,baseline_context_sha256,candidate_rank,baseline_rank,rank_improvement,mrr_delta,hit_at_1_delta,hit_at_5_delta,hit_at_10_delta,rank_percentile_improvement,pairwise_accuracy_delta
fm_minus_linear,fm,linear,2026,2026,validation,10009:0,10009,browsing,exploring_unknown,early,False,low,80,51-200,89b0fb6df0495f7636aa02c04d132c9a17e00d2757d34163fea003f95008db07,89b0fb6df0495f7636aa02c04d132c9a17e00d2757d34163fea003f95008db07,68,79,11,0.0020476545048399106,0,0,0,0.139240506329114,0.13924050632911392
fm_minus_linear,fm,linear,2026,2026,validation,10009:1,10009,browsing,browsing,early,False,low,80,51-200,9de59152f3d3a8688ba954a82bc211a0feb1a3ad3ca087955044026aa88ec28b,9de59152f3d3a8688ba954a82bc211a0feb1a3ad3ca087955044026aa88ec28b,72,79,7,0.0012306610407876225,0,0,0,0.08860759493670889,0.08860759493670886
fm_minus_linear,fm,linear,2026,2026,validation,10009:2,10009,browsing,browsing,early,False,medium,1,<=10,2a763f99ced384219bcfe391c12b463e7f583c1c9c05f943ddc31098b63e1200,2a763f99ced384219bcfe391c12b463e7f583c1c9c05f943ddc31098b63e1200,1,1,0,0.0,0,0,0,0.0,
fm_minus_linear,fm,linear,2026,2026,validation,10011:0,10011,buying,buying,early,False,medium,29,11-50,73b012bdd9dad371f3c9658e97fd249e29a58f5f9708b11795b7bb97be51e11e,73b012bdd9dad371f3c9658e97fd249e29a58f5f9708b11795b7bb97be51e11e,9,7,-2,-0.031746031746031744,0,0,0,-0.07142857142857142,-0.0714285714285714
fm_minus_linear,fm,linear,2026,2026,validation,10011:1,10011,buying,buying,early,False,medium,29,11-50,73b012bdd9dad371f3c9658e97fd249e29a58f5f9708b11795b7bb97be51e11e,73b012bdd9dad371f3c9658e97fd249e29a58f5f9708b11795b7bb97be51e11e,9,7,-2,-0.031746031746031744,0,0,0,-0.07142857142857142,-0.0714285714285714
fm_minus_linear,fm,linear,2026,2026,validation,10011:2,10011,buying,buying,early,False,medium,29,11-50,73b012bdd9dad371f3c9658e97fd249e29a58f5f9708b11795b7bb97be51e11e,73b012bdd9dad371f3c9658e97fd249e29a58f5f9708b11795b7bb97be51e11e,9,7,-2,-0.031746031746031744,0,0,0,-0.07142857142857142,-0.0714285714285714
fm_minus_linear,fm,linear,2026,2026,validation,10011:3,10011,buying,buying,middle,True,high,1,<=10,a1e891ff47b124a82df44dac75ffd55bdaacf46842eb3bbd3a132a06a711957c,a1e891ff47b124a82df44dac75ffd55bdaacf46842eb3bbd3a132a06a711957c,1,1,0,0.0,0,0,0,0.0,
fm_minus_linear,fm,linear,2026,2026,validation,10021:0,10021,browsing,exploring_unknown,early,False,low,665,>200,b3bf1198e6f9927997ea6471570afb1deecad0a9f478b6021071cedea0d8ce66,b3bf1198e6f9927997ea6471570afb1deecad0a9f478b6021071cedea0d8ce66,273,423,150,0.0012989374691502352,0,0,0,0.22590361445783136,0.22590361445783136
fm_minus_linear,fm,linear,2026,2026,validation,10021:1,10021,browsing,browsing,early,False,low,665,>200,36b2c91f459e640e45f3c9d5f6b0adb02fdb6bb6376b9dd4bdda1ec0c72166c6,36b2c91f459e640e45f3c9d5f6b0adb02fdb6bb6376b9dd4bdda1ec0c72166c6,268,423,155,0.0013672770897286616,0,0,0,0.23343373493975905,0.23343373493975905
fm_minus_linear,fm,linear,2026,2026,validation,10021:2,10021,browsing,browsing,early,False,medium,35,11-50,5b85dc07dc7711162df4cd52eb8eaf09910930d4c5878dfa73e1b5ffd80ee456,5b85dc07dc7711162df4cd52eb8eaf09910930d4c5878dfa73e1b5ffd80ee456,25,33,8,0.009696969696969697,0,0,0,0.23529411764705876,0.23529411764705882
