comparison,comparison_unit,metric,state_count,trajectory_count,observed_delta,observed_delta_raw,bootstrap_replicates,bootstrap_seed,ci_95_lower,ci_95_upper,ci_excludes_zero,informative,wins,ties,losses
fm_minus_linear,trajectory,mrr_delta,9757,2500,0.008084396422492222,0.008084396422492222,10000,2026,0.0030654609287461337,0.012969088509716594,True,True,3186,3790,2781
fm_minus_linear,trajectory,hit_at_1_delta,9757,2500,0.006316666666666667,0.006316666666666667,10000,2026,-0.0006701309523809522,0.013627154761904766,False,True,217,9363,177
fm_minus_linear,trajectory,hit_at_5_delta,9757,2500,0.008579841269841269,0.008579841269841269,10000,2026,0.0012416865079365083,0.01609147619047619,True,True,298,9218,241
fm_minus_linear,trajectory,hit_at_10_delta,5635,1983,0.021967277413570907,0.008885873015873015,10000,2026,0.008529634832584908,0.03523529364679138,True,True,348,5040,247
fm_minus_linear,trajectory,rank_improvement,9757,2500,2.1241614285714285,2.1241614285714285,10000,2026,0.3904784801587301,3.8918024126984125,True,True,3186,3790,2781
fm_minus_linear,trajectory,rank_percentile_improvement,9757,2500,0.0193466360791417,0.0193466360791417,10000,2026,0.011596676716631128,0.027211033286542206,True,True,3186,3790,2781
fm_minus_linear,trajectory,pairwise_accuracy_delta,9757,2238,0.029117627250354737,0.029117627250354737,10000,2026,0.018627780475012956,0.03934108540373828,True,True,3186,848,2781
candidate_minus_linear,trajectory,mrr_delta,9757,2500,0.012114851549000112,0.012114851549000112,10000,2026,0.005317547723002979,0.018931602141369613,True,True,3369,3472,2916
candidate_minus_linear,trajectory,hit_at_1_delta,9757,2500,0.011145238095238095,0.011145238095238095,10000,2026,0.0023154047619047607,0.020270999999999997,True,True,331,9153,273
candidate_minus_linear,trajectory,hit_at_5_delta,9757,2500,0.014762698412698413,0.014762698412698413,10000,2026,0.0046672222222222245,0.02451287698412698,True,True,551,8796,410
candidate_minus_linear,trajectory,hit_at_10_delta,5635,1983,0.022250238135260825,0.012704920634920635,10000,2026,0.0031404737891122165,0.04115418557740797,True,True,598,4582,455
candidate_minus_linear,trajectory,rank_improvement,9757,2500,0.9297604761904762,0.9297604761904762,10000,2026,-2.3634966190476194,4.265601511904762,False,True,3369,3472,2916
candidate_minus_linear,trajectory,rank_percentile_improvement,9757,2500,0.018373356758264403,0.018373356758264403,10000,2026,0.006368191169903896,0.03039051933877379,True,True,3369,3472,2916
candidate_minus_linear,trajectory,pairwise_accuracy_delta,9757,2238,0.027530453160391724,0.027530453160391724,10000,2026,0.010938428976009787,0.0440520440669694,True,True,3369,530,2916
candidate_minus_fm,trajectory,mrr_delta,9757,2500,0.004030455126507888,0.004030455126507888,10000,2026,-0.0028372328785749154,0.010855135116227729,False,True,3302,3464,2991
candidate_minus_fm,trajectory,hit_at_1_delta,9757,2500,0.004828571428571429,0.004828571428571429,10000,2026,-0.0037833809523809526,0.01381655952380952,False,True,315,9145,297
candidate_minus_fm,trajectory,hit_at_5_delta,9757,2500,0.006182857142857143,0.006182857142857143,10000,2026,-0.0034882658730158726,0.01587413888888889,False,True,516,8809,432
candidate_minus_fm,trajectory,hit_at_10_delta,5635,1983,0.00028296072168991986,0.003819047619047619,10000,2026,-0.018557190484195022,0.019439851835842747,False,True,549,4579,507
candidate_minus_fm,trajectory,rank_improvement,9757,2500,-1.1944009523809525,-1.1944009523809525,10000,2026,-4.25732340079365,1.9573814682539663,False,True,3302,3464,2991
candidate_minus_fm,trajectory,rank_percentile_improvement,9757,2500,-0.0009732793208772968,-0.0009732793208772968,10000,2026,-0.013053154082309507,0.010630150666779884,False,True,3302,3464,2991
candidate_minus_fm,trajectory,pairwise_accuracy_delta,9757,2238,-0.0015871740899630158,-0.0015871740899630158,10000,2026,-0.017378254292381504,0.014513806696303342,False,True,3302,522,2991
