comparison,metric,sample_count,observed_delta,bootstrap_replicates,ci_95_lower,ci_95_upper,ci_excludes_zero
fm_minus_linear,accuracy,200,-0.01,10000,-0.025,0.0,False
fm_minus_linear,mrr,200,-0.027017857142857142,10000,-0.07984722222222222,0.02532142857142857,False
fm_minus_linear,efficiency,200,-0.013999999999999999,10000,-0.0305,-0.0009999999999999998,True
fm_minus_linear,technical_score,200,-0.01590535714285714,10000,-0.03430119047619048,0.0019089285714285775,False
hybrid_minus_fm,accuracy,200,0.0,10000,0.0,0.0,False
hybrid_minus_fm,mrr,200,0.012577380952380954,10000,-0.018464285714285714,0.043948412698412695,False
hybrid_minus_fm,efficiency,200,-0.002,10000,-0.006,0.0019999999999999996,False
hybrid_minus_fm,technical_score,200,0.0033732142857142862,10000,-0.005453571428571427,0.01227261904761905,False
hybrid_minus_linear,accuracy,200,-0.01,10000,-0.025,0.0,False
hybrid_minus_linear,mrr,200,-0.014440476190476188,10000,-0.06972817460317461,0.04154960317460318,False
hybrid_minus_linear,efficiency,200,-0.016,10000,-0.0325,-0.003,True
hybrid_minus_linear,technical_score,200,-0.012532142857142855,10000,-0.031929761904761905,0.005900595238095246,False
