comparison,metric,sample_count,observed_delta,bootstrap_replicates,ci_95_lower,ci_95_upper,ci_excludes_zero
fm_minus_linear,accuracy,200,-0.01,10000,-0.025,0.0,False
fm_minus_linear,mrr,200,-0.027017857142857142,10000,-0.08045590277777775,0.02487247023809522,False
fm_minus_linear,efficiency,200,-0.013999999999999999,10000,-0.0305,-0.0009999999999999992,True
fm_minus_linear,technical_score,200,-0.01590535714285714,10000,-0.03456590773809524,0.002202708333333335,False
e7_100k_seed2028_minus_linear,accuracy,200,-0.02,10000,-0.04,-0.005,True
e7_100k_seed2028_minus_linear,mrr,200,-0.020515873015873015,10000,-0.08011259920634921,0.03925277777777777,False
e7_100k_seed2028_minus_linear,efficiency,200,-0.035,10000,-0.0565,-0.017,True
e7_100k_seed2028_minus_linear,technical_score,200,-0.023154761904761897,10000,-0.04691224702380952,-0.0013073660714285765,True
e7_100k_seed2028_minus_fm,accuracy,200,-0.01,10000,-0.03,0.01,False
e7_100k_seed2028_minus_fm,mrr,200,0.006501984126984129,10000,-0.049571974206349206,0.06503482142857141,False
e7_100k_seed2028_minus_fm,efficiency,200,-0.021,10000,-0.042,-0.0014875000000001805,True
e7_100k_seed2028_minus_fm,technical_score,200,-0.007249404761904756,10000,-0.029972767857142854,0.01483046130952382,False
