sample_id,scenario_type,target_parent_asin,candidate_count_turn_1,recommendation_count_turn_1,ask_attribute_turn_1,recommendations_turn_1,target_survives_turn_1,intent_epoch_turn_1,hit,first_hit_turn,best_rank,actually_reached_turn_10,surviving_parent_asins_turn_10,exactly_10_survivors_turn_10,at_most_10_survivors_turn_10,candidate_count_turn_2,recommendation_count_turn_2,ask_attribute_turn_2,recommendations_turn_2,target_survives_turn_2,intent_epoch_turn_2,candidate_count_turn_3,recommendation_count_turn_3,ask_attribute_turn_3,recommendations_turn_3,target_survives_turn_3,intent_epoch_turn_3,candidate_count_turn_4,recommendation_count_turn_4,ask_attribute_turn_4,recommendations_turn_4,target_survives_turn_4,intent_epoch_turn_4,candidate_count_turn_5,recommendation_count_turn_5,ask_attribute_turn_5,recommendations_turn_5,target_survives_turn_5,intent_epoch_turn_5,candidate_count_turn_6,recommendation_count_turn_6,ask_attribute_turn_6,recommendations_turn_6,target_survives_turn_6,intent_epoch_turn_6,candidate_count_turn_7,recommendation_count_turn_7,ask_attribute_turn_7,recommendations_turn_7,target_survives_turn_7,intent_epoch_turn_7,candidate_count_turn_8,recommendation_count_turn_8,ask_attribute_turn_8,recommendations_turn_8,target_survives_turn_8,intent_epoch_turn_8,candidate_count_turn_9,recommendation_count_turn_9,ask_attribute_turn_9,recommendations_turn_9,target_survives_turn_9,intent_epoch_turn_9,candidate_count_turn_10,recommendation_count_turn_10,ask_attribute_turn_10,recommendations_turn_10,target_survives_turn_10,intent_epoch_turn_10
public_0001,buying,B09PYB7B6Z,2,2,,B09PYB7B6Z;B075KXNBNF,True,0,True,1,1,False,2,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0002,intent_override,B071X54486,91,10,other,B00X5042IS;B074D2V1J3;B0119U5Z90;B09FK4W3G5;B00QINL7ZA;B06XQML91R;B0B71T4L93;B07PDJW7PF;B07C36MMC5;B07PJZ193K,True,0,True,4,4,False,11,False,False,17,10,color,B0062ODJAG;B07RQBD7MY;B0913DGMQ1;B07GDTGWX1;B091DZK1XF;B00APLPSZ6;B00APLPWFC;B078HG9KCY;B0058VB3AM;B01727EVCQ,True,0,176,10,feature,B00QXQOCDG;B0CHZYH847;B07LGRDWPN;B016KJE6FE;B07PWNBLG7;B07H9XQZ6X;B08L13H7SY;B09FK4W3G5;B07QPQ96L1;B00FQSE9W6,True,1,11,10,material,B01MA6KR4B;B004Q7CV0K;B0C5F4BMLV;B071X54486;B01N2LFP2K;B01FKGB6UG;B072M9PJ3H;B074D2V1J3;B0119U5Z90;B09Y25MFDR,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0003,intent_override,B09YMTWDXJ,4,4,,B00737GGW4;B002J4UBI6;B001KSFIS0;B09YMTWDXJ,True,0,True,3,2,False,3,False,True,4,4,,B00737GGW4;B002J4UBI6;B001KSFIS0;B09YMTWDXJ,True,0,3,3,,B01NACP8MU;B09YMTWDXJ;B07D8GWMKZ,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0004,intent_override,B07C2XPZ6D,1,1,,B07C2XPZ6D,True,0,True,4,1,False,1,False,True,1,1,,B07C2XPZ6D,True,0,51,10,other,B00XF6IY04;B07NWXM3XW;B01I9XLXAA;B07M5MNH41;B00HA8565E;B0097B63J0;B07NVRHG7N;B01COEO5K0;B014J9VXLW;B00JBOB3BQ,True,1,1,1,,B07C2XPZ6D,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0005,buying,B074G1JP8Z,86,10,other,B01N5F6LF7;B017S5SL4G;B004KNW8QM;B08459WDVV;B01ACC8ZHA;B0773SJQFT;B078JDQMTL;B08GM2QC8D;B00Q7UBSTO;B00ICMLXTK,True,0,True,2,1,False,1,False,True,1,1,,B074G1JP8Z,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0006,browsing,B071F2Z7JG,13,10,feature,B00NU925RY;B001ST5FSE;B01N1UA1Q6;B007023PU8;B07ZPYN7TY;B072KHDZND;B0781F25RD;B01N5HGJ8E;B00YQ48YI6;B001NCDFVA,True,0,True,2,1,False,1,False,True,1,1,,B071F2Z7JG,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0007,browsing,B08PF98BV4,519,10,other,B0991RZZKR;B095CM4F2J;B01EM470LQ;B08C2N139Z;B08BL1Y5QG;B08762F8KF;B07CTCMXLB;B09YLMJ2DF;B06Y5WWC4M;B01E37SQ2O,True,0,True,2,1,False,1,False,True,1,1,,B08PF98BV4,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0008,buying,B0BPCC1KBT,112,10,other,B07DRQFCZB;B086WQCHSN;B0009K21I0;B06XS4ZR5C;B098JDBZJQ;B0032FP0IW;B0BPCC1KBT;B07B4QNX6N;B0C4MSXF1V;B08P14CYYC,True,0,True,1,7,False,112,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0009,buying,B07GXHPWTJ,108,10,other,B09M67CS1X;B07L5P7SCR;B00HBIUM66;B07CS9CG1Q;B004R1QL9W;B078HJ8QQR;B0188HXOGI;B0987R6RNC;B08NXQF5R6;B09F35XYB8,True,0,True,2,1,False,1,False,True,1,1,,B07GXHPWTJ,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0010,buying,B0929KL5W7,15,10,other,B0929KL5W7;B083BG1PY5;B0936ZJJ68;B0B53H6J51;B093JQPT5G;B08H2CKF4Z;B08H2C3NGL;B0B97JNGGY;B0B7DWBL9Y;B0C6DQNQK7,True,0,True,1,1,False,15,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
