sample_id,scenario_type,in_supported_170,surviving_parent_asins_turn_10,recommendations_returned_turn_10,exactly_10_survivors_turn_10,first_hit_turn,actually_reached_turn_10
public_0001,buying,True,2,2,False,1,False
public_0002,intent_override,False,4,4,False,10,True
public_0003,intent_override,False,1,1,False,10,True
public_0004,intent_override,False,1,1,False,4,False
public_0005,buying,True,1,1,False,6,False
public_0006,browsing,True,1,1,False,3,False
public_0007,browsing,True,1,1,False,4,False
public_0008,buying,True,2,2,False,6,False
public_0009,buying,True,1,1,False,6,False
public_0010,buying,True,1,1,False,6,False
public_0011,browsing,True,1,1,False,3,False
public_0012,browsing,True,1,1,False,3,False
public_0013,intent_override,False,1,1,False,4,False
public_0014,browsing,True,8,8,False,3,False
public_0015,browsing,True,1,1,False,3,False
public_0016,browsing,True,5,5,False,4,False
public_0017,buying,True,6,6,False,6,False
public_0018,buying,True,9,9,False,1,False
public_0019,browsing,True,1,1,False,3,False
public_0020,buying,True,7,7,False,5,False
public_0021,browsing,True,4,4,False,3,False
public_0022,buying,True,1,1,False,6,False
public_0023,intent_override,False,1,1,False,4,False
public_0024,buying,True,1,1,False,6,False
public_0025,browsing,True,1,1,False,3,False
public_0026,buying,True,14,0,False,,True
public_0027,buying,True,3,3,False,6,False
public_0028,buying,True,1,1,False,6,False
public_0029,buying,True,1,1,False,6,False
public_0030,buying,True,1,1,False,6,False
public_0031,buying,True,2,2,False,6,False
public_0032,buying,True,4,4,False,6,False
public_0033,browsing,True,1,1,False,3,False
public_0034,intent_override,False,1,1,False,10,True
public_0035,boundary,True,8,8,False,3,False
public_0036,browsing,True,1,1,False,4,False
public_0037,browsing,True,4,4,False,3,False
public_0038,intent_override,False,1,1,False,4,False
public_0039,browsing,True,2,2,False,3,False
public_0040,browsing,True,5,5,False,4,False
public_0041,boundary,True,1,1,False,3,False
public_0042,buying,True,2,2,False,5,False
public_0043,browsing,True,1,1,False,4,False
public_0044,buying,True,7,7,False,1,False
public_0045,buying,True,5,5,False,6,False
public_0046,intent_override,False,1,1,False,4,False
public_0047,browsing,True,1,1,False,3,False
public_0048,browsing,True,1,1,False,2,False
public_0049,browsing,True,1,1,False,4,False
public_0050,boundary,True,1,1,False,3,False
public_0051,browsing,True,1,1,False,3,False
public_0052,intent_override,False,8,8,False,4,False
public_0053,buying,True,6,6,False,1,False
public_0054,buying,True,2,2,False,6,False
public_0055,browsing,True,1,1,False,3,False
public_0056,browsing,True,1,1,False,4,False
public_0057,browsing,True,8,8,False,3,False
public_0058,buying,True,7,7,False,6,False
public_0059,browsing,True,1,1,False,3,False
public_0060,browsing,True,3,3,False,3,False
public_0061,buying,True,1,1,False,1,False
public_0062,browsing,True,1,1,False,4,False
public_0063,browsing,True,4,4,False,3,False
public_0064,intent_override,False,10,10,True,4,False
public_0065,buying,True,3,3,False,1,False
public_0066,buying,True,1,1,False,6,False
public_0067,buying,True,11,0,False,,True
public_0068,intent_override,False,1,1,False,10,True
public_0069,browsing,True,1,1,False,3,False
public_0070,browsing,True,1,1,False,3,False
public_0071,intent_override,False,1,1,False,10,True
public_0072,intent_override,False,9,9,False,3,False
public_0073,browsing,True,1,1,False,3,False
public_0074,browsing,True,2,2,False,3,False
public_0075,browsing,True,3,3,False,4,False
public_0076,browsing,True,8,8,False,4,False
public_0077,browsing,True,4,4,False,1,False
public_0078,intent_override,False,1,1,False,4,False
public_0079,browsing,True,1,1,False,4,False
public_0080,intent_override,False,5,5,False,10,True
public_0081,browsing,True,7,7,False,3,False
public_0082,buying,True,1,1,False,1,False
public_0083,buying,True,54,0,False,,True
public_0084,intent_override,False,1,1,False,4,False
public_0085,browsing,True,1,1,False,3,False
public_0086,browsing,True,1,1,False,3,False
public_0087,browsing,True,48,0,False,,True
public_0088,buying,True,1,1,False,6,False
public_0089,intent_override,False,2,2,False,4,False
public_0090,buying,True,1,1,False,1,False
public_0091,browsing,True,1,1,False,3,False
public_0092,browsing,True,10,10,True,3,False
public_0093,buying,True,1,1,False,6,False
public_0094,buying,True,1,1,False,6,False
public_0095,buying,True,1,1,False,6,False
public_0096,intent_override,False,4,4,False,10,True
public_0097,buying,True,2,2,False,6,False
public_0098,browsing,True,3,3,False,3,False
public_0099,browsing,True,4,4,False,4,False
public_0100,browsing,True,1,1,False,3,False
public_0101,buying,True,1,1,False,5,False
public_0102,browsing,True,1,1,False,3,False
public_0103,intent_override,False,4,4,False,9,False
public_0104,boundary,True,1,1,False,3,False
public_0105,browsing,True,1,1,False,4,False
public_0106,buying,True,3,3,False,6,False
public_0107,buying,True,4,4,False,1,False
public_0108,buying,True,3,3,False,1,False
public_0109,buying,True,1,1,False,6,False
public_0110,browsing,True,1,1,False,3,False
public_0111,buying,True,1,1,False,6,False
public_0112,boundary,True,1,1,False,3,False
public_0113,browsing,True,1,1,False,3,False
public_0114,buying,True,1,1,False,5,False
public_0115,browsing,True,2,2,False,4,False
public_0116,buying,True,1,1,False,6,False
public_0117,buying,True,5,5,False,1,False
public_0118,buying,True,1,1,False,6,False
public_0119,buying,True,1,1,False,1,False
public_0120,browsing,True,9,9,False,3,False
public_0121,browsing,True,1,1,False,4,False
public_0122,browsing,True,1,1,False,4,False
public_0123,intent_override,False,1,1,False,4,False
public_0124,buying,True,1,1,False,6,False
public_0125,intent_override,False,5,5,False,4,False
public_0126,browsing,True,5,5,False,4,False
public_0127,browsing,True,5,5,False,4,False
public_0128,browsing,True,1,1,False,4,False
public_0129,buying,True,2,2,False,6,False
public_0130,intent_override,False,4,4,False,4,False
public_0131,boundary,True,3,3,False,3,False
public_0132,buying,True,1,1,False,6,False
public_0133,buying,True,2,2,False,5,False
public_0134,browsing,True,1,1,False,3,False
public_0135,buying,True,5,5,False,6,False
public_0136,buying,True,5,5,False,6,False
public_0137,browsing,True,2,2,False,3,False
public_0138,browsing,True,4,4,False,4,False
public_0139,browsing,True,1,1,False,3,False
public_0140,browsing,True,4,4,False,4,False
public_0141,browsing,True,1,1,False,3,False
public_0142,intent_override,False,1,1,False,4,False
public_0143,buying,True,1,1,False,6,False
public_0144,intent_override,False,9,9,False,10,True
public_0145,buying,True,6,6,False,6,False
public_0146,buying,True,1,1,False,6,False
public_0147,browsing,True,3,3,False,1,False
public_0148,buying,True,1,1,False,6,False
public_0149,buying,True,7,7,False,5,False
public_0150,browsing,True,1,1,False,3,False
public_0151,browsing,True,1,1,False,10,True
public_0152,buying,True,1,1,False,6,False
public_0153,browsing,True,3,3,False,3,False
public_0154,buying,True,5,5,False,5,False
public_0155,buying,True,2,2,False,6,False
public_0156,buying,True,1,1,False,1,False
public_0157,buying,True,9,9,False,6,False
public_0158,browsing,True,1,1,False,3,False
public_0159,buying,True,3,3,False,6,False
public_0160,buying,True,6,6,False,5,False
public_0161,buying,True,11,0,False,,True
public_0162,browsing,True,2,2,False,3,False
public_0163,buying,True,1,1,False,6,False
public_0164,browsing,True,1,1,False,4,False
public_0165,buying,True,1,1,False,4,False
public_0166,intent_override,False,2,2,False,4,False
public_0167,browsing,True,1,1,False,10,True
public_0168,buying,True,1,1,False,1,False
public_0169,boundary,True,1,1,False,4,False
public_0170,browsing,True,2,2,False,3,False
public_0171,buying,True,1,1,False,6,False
public_0172,browsing,True,2,2,False,4,False
public_0173,browsing,True,1,1,False,4,False
public_0174,buying,True,14,0,False,,True
public_0175,browsing,True,9,9,False,4,False
public_0176,browsing,True,3,3,False,3,False
public_0177,intent_override,False,1,1,False,4,False
public_0178,buying,True,1,1,False,6,False
public_0179,buying,True,1,1,False,6,False
public_0180,boundary,True,5,5,False,3,False
public_0181,browsing,True,1,1,False,3,False
public_0182,browsing,True,1,1,False,3,False
public_0183,intent_override,False,2,2,False,4,False
public_0184,browsing,True,1,1,False,3,False
public_0185,buying,True,1,1,False,6,False
public_0186,intent_override,False,1,1,False,9,False
public_0187,boundary,True,1,1,False,10,True
public_0188,buying,True,1,1,False,6,False
public_0189,buying,True,2,2,False,5,False
public_0190,buying,True,1,1,False,6,False
public_0191,browsing,True,1,1,False,3,False
public_0192,boundary,True,1,1,False,3,False
public_0193,buying,True,2,2,False,5,False
public_0194,buying,True,8,8,False,6,False
public_0195,browsing,True,6,6,False,4,False
public_0196,browsing,True,1,1,False,3,False
public_0197,intent_override,False,1,1,False,4,False
public_0198,intent_override,False,3,3,False,4,False
public_0199,buying,True,6,6,False,6,False
public_0200,buying,True,1,1,False,1,False
